,dialog,cleaned_dialog
5301,and i saw strange cars parked out front,saw strange cars parked front
5302,when i got to the door i hear whispering,got door hear whispering
5303,and i could smell german chocolate cake which is my favorite,could smell german chocolate cake favorite
5304,and it turns out my grandfather had died,turns grandfather died
5305,oh my god that s terrible,oh god terrible
5306,well it was kind of like a birthday party,well kind like birthday party
5307,i got to see all my cousins and there was cake so,got see cousins cake
5308,that s the saddest thing i ve ever heard you think,saddest thing ever heard think
5309,go ahead tell her about your senior prom,go ahead tell senior prom
5310,font color howard font make sure they remember no peanuts,howard make sure remember peanuts
5311,howard every thai restaurant in town knows you can t eat peanuts,howard every thai restaurant town knows eat peanuts
5312,when they see me coming they go ah no peanut boy,see coming go ah peanut boy
5313,hello penny leonard just left i know i wanna talk to you,hello penny leonard left know wanna talk
5314,what would we talk about,would talk
5315,we have no overlapping areas of interest i m aware of,overlapping areas interest aware
5316,as you know i don t care for chitchat can you just let me in,know care chitchat let
5317,well all right but i don t see this as a promising endeavor,well right see promising endeavor
5318,okay here s the deal,okay deal
5319,we ll throw leonard a kickass surprise party for his birthday,throw leonard kickass surprise party birthday
5320,i hardly think so,hardly think
5321,leonard made it clear he doesn t want a party,leonard made clear want party
5322,did someone say party,someone say party
5323,he just doesn t know he wants one because he s never had one,know wants one never one
5324,i suppose that s possible,suppose possible
5325,but for the record i ve never had a threesome and yet i still know i want one,record never threesome yet still know want one
5326,here s the difference,difference
5327,the possibility exists leonard could have a birthday party,possibility exists leonard could birthday party
5328,before hell freezes over,hell freezes
5329,fine if i do have a threesome you can t be part of it,fine threesome part
5330,i m just kidding yes you can,kidding yes
5331,can you bring a friend,bring friend
5332,i think a birthday party is a terrible idea,think birthday party terrible idea
5333,i envy leonard for growing up without that anguish,envy leonard growing without anguish
5334,anguish,anguish
5335,year after year i had to endure wearing conical hats,year year endure wearing conical hats
5336,while being forced into the crowded sweaty hell of bouncy castles,forced crowded sweaty hell bouncy castles
5337,not to mention being blindfolded,mention blindfolded
5338,and spun toward a grotesque tailless donkey,spun toward grotesque tailless donkey
5339,as the other children mocked my disorientation,children mocked disorientation
5340,okay sweetie i understand you have scars that no non professional can heal,okay sweetie understand scars non professional heal
5341,but nevertheless we re gonna throw leonard a birthday party,nevertheless gonna throw leonard birthday party
5342,i m extremely uncomfortable with dancing,extremely uncomfortable dancing
5343,loud music and most other forms of alcohol induced frivolity,loud music forms alcohol induced frivolity
5344,nevertheless in addition,nevertheless addition
5345,you either help me throw leonard a birthday party,either help throw leonard birthday party
5346,or i will go into your bedroom,go bedroom
5347,and unbag all your mint condition comic books,unbag mint condition comic books
5348,and on one of them you won t know which i ll draw a tiny happy face in ink,one know draw tiny happy face ink
5349,you can t do that if you make a mark in a mint comic book it s no longer mint,make mark mint comic book longer mint
5350,do you understand the concept of blackmail,understand concept blackmail
5351,well of course i oh,well course oh
5352,yeah i have an idea let s throw leonard a kickass birthday party,yeah idea let throw leonard kickass birthday party
5353,that s not the secret knock,secret knock
5354,this is the secret knock,secret knock
5355,what difference does it make,difference make
5356,the point of a secret knock is to establish a nonverbal signal,point secret knock establish nonverbal signal
5357,to verify the identity of one s coconspirators,verify identity one coconspirators
5358,font color penny font is that raj and howard possibly but unverified,penny raj howard possibly unverified
5359,would you just let us in,would let us
5360,luckily for you this is not a nuclear reactor,luckily nuclear reactor
5361,so what d you get the birthday boy,get birthday boy
5362,raj got him an awesome limited edition dark knight sculpture,raj got awesome limited edition dark knight sculpture
5363,based on alex ross definitive batman,based alex ross definitive batman
5364,and i got him this amazing autographed copy of the feynman lectures on physics,got amazing autographed copy feynman lectures physics
5365,nice i got him a sweater,nice got sweater
5366,okay well he might like that i ve seen him get chilly,okay well might like seen get chilly
5367,sheldon i didn t see your present that s because i didn t bring one,sheldon see present bring one
5368,why not don t ask,ask
5369,the entire institution of gift giving makes no sense,entire institution gift giving makes sense
5370,too late let s say i go out and i spend on you,late let say go spend
5371,it s a laborious activity because i have to imagine what you need,laborious activity imagine need
5372,where you know what you need,know need
5373,i could simplify things just give you the directly,could simplify things give directly
5374,and then you could give me on my birthday and so on,could give birthday
5375,until one of us dies leaving the other one old and richer,one us dies leaving one old richer
5376,and i ask you is it worth it,ask worth
5377,told you not to ask,told ask
5378,well sheldon you re his friend friends give each other presents,well sheldon friend friends give presents
5379,i accept your premise i reject your conclusion,accept premise reject conclusion
5380,try telling him it s a non optional social convention,try telling non optional social convention
